X,Y,Z
-8.3541,-24.2853,-2.0525
-8.2762,-24.2289,-2.0208
-8.1986,-24.1722,-1.9901
-8.0433,-24.0585,-1.9293
-7.8866,-23.9416,-1.8727
-7.6537,-23.7663,-1.7919
-7.5761,-23.707,-1.7669
-7.497,-23.6465,-1.7416
-7.42,-23.5871,-1.7178
-8.0723,-24.1257,-1.9579
-8.196,-24.2299,-2.0144
-7.9626,-24.0597,-1.9213
-7.5743,-23.769,-1.7825
-7.4972,-23.7104,-1.757
-7.4198,-23.6509,-1.7327
-7.9112,-24.0597,-1.9141
-7.6776,-23.8855,-1.828
-7.5999,-23.8269,-1.8009
-7.5223,-23.7678,-1.7749
-7.9596,-24.1229,-1.9426
-8.0903,-24.2413,-2.0074
-8.0119,-24.185,-1.974
-7.7774,-24.0131,-1.881
-7.6994,-23.955,-1.8522
-7.6215,-23.8968,-1.8239
-7.5439,-23.8385,-1.7963
-7.4661,-23.7794,-1.77
-7.3885,-23.7203,-1.7442
-7.9073,-24.1336,-1.9398
-8.0287,-24.2598,-2.0066
-7.9504,-24.2036,-1.9728
-7.7937,-24.0893,-1.9095
-7.7157,-24.032,-1.8789
-7.5599,-23.9161,-1.8209
-7.4821,-23.8577,-1.7932
-7.4045,-23.7991,-1.7661
-7.9832,-24.2994,-2.0173
-7.9049,-24.2434,-1.9833
-7.7489,-24.1305,-1.9185
-7.671,-24.0733,-1.8879
-7.5936,-24.0165,-1.8575
-7.5164,-23.9595,-1.8278
-7.439,-23.9018,-1.7996
-7.3615,-23.8433,-1.7725
-7.8029,-24.2102,-1.9567
-7.9382,-24.3507,-2.033
-7.6275,-24.1266,-1.9016
-7.5492,-24.0698,-1.8692
-7.4707,-24.0122,-1.8382
-7.3153,-23.8964,-1.7808
-7.768,-24.2699,-1.9764
-7.9005,-24.4104,-2.0537
-7.8226,-24.3547,-2.0195
-7.6682,-24.2438,-1.9528
-7.59,-24.1873,-1.9195
-7.5124,-24.1314,-1.8863
-7.4345,-24.0746,-1.8548
-7.3569,-24.0175,-1.8241
-7.2794,-23.9601,-1.7943
-7.8585,-24.4757,-2.0783
-7.7811,-24.421,-2.0431
-7.5487,-24.2553,-1.9396
-7.3179,-24.0886,-1.842
-7.2397,-24.0314,-1.8103
-7.7987,-24.5365,-2.0997
-7.5659,-24.3726,-1.9918
-7.4889,-24.3182,-1.9565
-7.4122,-24.2636,-1.9223
-7.3344,-24.2082,-1.8876
-7.1783,-24.0949,-1.8227
-7.7593,-24.5676,-2.1102
-7.6045,-24.4594,-2.0368
-7.5271,-24.4049,-2.0008
-7.2944,-24.2404,-1.8945
-7.2167,-24.1848,-1.8608
-7.1391,-24.1286,-1.8282
-7.6421,-24.5487,-2.0852
-7.5644,-24.4947,-2.0478
-7.2557,-24.2783,-1.9029
-7.1782,-24.2229,-1.8689
-7.6728,-24.628,-2.1285
-7.5962,-24.5751,-2.0909
-7.4417,-24.4681,-2.0156
-7.3635,-24.4135,-1.9784
-7.2856,-24.3587,-1.9422
-7.054,-24.1944,-1.838
-7.6169,-24.6548,-2.1338
-7.5403,-24.6021,-2.0959
-7.463,-24.5491,-2.0571
-7.3859,-24.4956,-2.0198
-7.3077,-24.4413,-1.9821
-7.23,-24.3871,-1.9453
-7.1528,-24.333,-1.909
-7.0758,-24.2787,-1.8736
-7.5558,-24.6853,-2.1405
-7.4793,-24.6329,-2.1021
-7.4021,-24.5803,-2.0627
-7.3251,-24.5273,-2.0248
-7.2471,-24.4735,-1.9865
-7.1693,-24.4193,-1.9495
-7.0919,-24.3652,-1.9131
-7.0152,-24.3116,-1.877
-7.506,-24.7164,-2.1488
-7.4295,-24.6641,-2.1102
-7.2755,-24.559,-2.0323
-7.1974,-24.5052,-1.9939
-7.1202,-24.452,-1.9557
-7.0431,-24.3986,-1.9187
-6.9663,-24.3449,-1.8826
-7.3096,-24.6434,-2.08
-7.2329,-24.5908,-2.0415
-7.1553,-24.5379,-2.0022
-7.1281,-24.5769,-2.0179
